collage,Player,id,height,weight,born,birth_city,birth_state
Indiana University,Jared Jeffries,2873,211,104,1981,Bloomington,Indiana
University of Oregon,Fred Jones,2874,193,95,1979,Malvern,Arkansas
University of California,Sean Lampley,2875,201,102,1979,Harvey,Illinois
"California State University, Fresno",Tito Maddox,2876,193,86,1981,Compton,California
University of Virginia,Roger Mason,2877,196,90,1980,Washington,District of Columbia
,Yao Ming*,2878,229,140,1980,Shanghai,China
Shaw University,Ronald Murray,2879,193,86,1979,Philadelphia,Pennsylvania
,Bostjan Nachbar,2880,206,100,1980,Slovenj Gradec,Slovenia
,Mehmet Okur,2881,211,112,1979,Yalova,Turkey
University of Texas at Austin,Chris Owens,2882,201,111,1979,Akron,Ohio
University of Arkansas,Jannero Pargo,2883,185,79,1979,Chicago,Illinois
Fordham University,Smush Parker,2884,193,86,1981,New York,New York
University of Kentucky,Tayshaun Prince,2885,206,96,1980,Compton,California
,Igor Rakocevic,2886,190,83,1978,Belgrade,Serbia
,Efthimi Rentzias,2887,211,113,1976,Trikala,Greece
,Antoine Rigaudeau,2888,201,95,1971,Cholet,France
University of Iowa,Guy Rucker,2889,211,120,1977,Inkster,Michigan
University of Missouri,Kareem Rush,2890,198,97,1980,Kansas City,Missouri
University of Miami,John Salmons,2891,201,95,1979,Philadelphia,Pennsylvania
University of California,Jamal Sampson,2892,211,106,1983,Inglewood,California
University of Hawaii,Predrag Savovic,2893,198,102,1976,Pula,Croatia
Iowa State University,Paul Shirley,2894,208,104,1977,Meriden,Kansas
Marshall University,Tamar Slay,2895,203,97,1980,Beckley,West Virginia
,Amar'e Stoudemire,2896,208,111,1982,Lake Wales,Florida
,Cezary Trybanski,2897,218,108,1979,Warsaw,Poland
,Nikoloz Tskitishvili,2898,213,102,1983,Tbilisi,Georgia
University of Texas at Austin,Dajuan Wagner,2899,183,77,1922,,
,Jiri Welsch,2900,201,94,1980,Pardubice,Czech Republic
University of Maryland,Chris Wilcox,2901,208,100,1982,Raleigh,North Carolina
Rice University,Mike Wilks,2902,178,83,1979,Milwaukee,Wisconsin
Portland State University,Frank Williams,2903,193,86,1956,Los Angeles,California
St. John's University,Jay Williams,2904,206,108,1968,Ritter,South Carolina
Northeast Mississippi Community College,Qyntel Woods,2905,203,100,1981,Memphis,Tennessee
University of Tennessee,Vincent Yarbrough,2906,201,95,1981,Cleveland,Tennessee
Syracuse University,Carmelo Anthony,2907,203,108,1984,New York,New York
"University of Nevada, Las Vegas",Marcus Banks,2908,188,90,1981,Las Vegas,Nevada
,Leandro Barbosa,2909,190,87,1982,San Paulo,Brazil
Providence College,Matt Barnes,2910,203,95,1952,Providence,Rhode Island
University of North Dakota,Jerome Beasley,2911,208,107,1980,Compton,California
Boston College,Troy Bell,2912,185,81,1980,Minneapolis,Minnesota
University of Maryland,Steve Blake,2913,190,78,1980,Hollywood,Florida
University of Kentucky,Keith Bogans,2914,196,97,1980,Alexandria,Virginia
Stanford University,Curtis Borchardt,2915,213,108,1980,Buffalo,New York
Georgia Institute of Technology,Chris Bosh,2916,211,106,1984,Dallas,Texas
Xavier University,Torraye Braggs,2917,203,111,1976,Fresno,California
,Zarko Cabarkapa,2918,211,106,1981,Zrenjanin,Serbia
University of Notre Dame,Matt Carroll,2919,198,96,1980,Pittsburgh,Pennsylvania
Louisiana State University,Maurice Carter,2920,196,95,1976,Jackson,Mississippi
University of Illinois at Urbana-Champaign,Brian Cook,2921,206,106,1980,Lincoln,Illinois
St. John's University,Omar Cook,2922,185,86,1982,Brooklyn,New York
Auburn University,Marquis Daniels,2923,198,90,1981,Jasper,Florida
University of Dayton,Josh Davis,2924,188,77,1955,Detroit,Michigan
,Boris Diaw,2925,203,113,1982,Cormeille-en-Parisis,France
University of Idaho,Kaniel Dickens,2926,203,97,1978,Denver,Colorado
Louisiana State University,Ronald Dupree,2927,201,94,1981,Biloxi,Mississippi
,Ndudi Ebi,2928,206,90,1984,London,United Kingdom
University of California,Francisco Elson,2929,213,106,1976,Rotterdam,Netherlands
University of Detroit Mercy,Desmond Ferguson,2930,201,92,1977,Lansing,Michigan
,T.J. Ford,2931,201,92,1977,,
Gonzaga University,Richie Frahm,2932,196,95,1977,Battle Ground,Washington
"California State University, Fresno",Hiram Fuller,2933,206,108,1981,East St. Louis,Missouri
University of Louisville,Reece Gaines,2934,198,92,1981,Madison,Wisconsin
,Alex Garcia,2935,190,99,1980,Orlandia,Brazil
University of Detroit Mercy,Willie Green,2936,193,90,1981,Detroit,Michigan
Western Michigan University,Ben Handlogten,2937,208,108,1973,Grand Rapids,Michigan
Brigham Young University,Travis Hansen,2938,198,92,1978,Provo,Utah
University of Florida,Udonis Haslem,2939,203,106,1980,Miami,Florida
University of Georgia,Jarvis Hayes,2940,201,99,1981,Atlanta,Georgia
University of Kansas,Kirk Hinrich,2941,193,86,1981,Sioux City,Iowa
Wake Forest University,Josh Howard,2942,201,95,1980,Winston-Salem,North Carolina
Ohio University,Brandon Hunter,2943,201,117,1980,Cincinnati,Ohio
,LeBron James,2944,203,113,1984,Akron,Ohio
University of Utah,Britton Johnsen,2945,208,95,1979,Salt Lake City,Utah
Tulane University,Linton Johnson,2946,203,92,1980,Chicago,Illinois
University of Houston,Dahntay Jones,2947,190,83,1976,Galveston,Texas
Assumption College,James Jones,2948,190,81,1949,,
Central Michigan University,Chris Kaman,2949,213,120,1982,Wyoming,Michigan
"University of California, Los Angeles",Jason Kapono,2950,203,96,1981,Long Beach,California
Creighton University,Kyle Korver,2951,201,96,1981,Lakewood,California
,Maciej Lampe,2952,211,124,1985,Lodz,Poland
,Raul Lopez,2953,185,77,1980,Vic,Spain
Bowling Green State University,Keith McLeod,2954,188,85,1979,Canton,Ohio
,Darko Milicic,2955,213,113,1985,Novi Sad,Serbia
,Travis Outlaw,2956,206,95,1984,Starkville,Mississippi
,Zaza Pachulia,2957,211,122,1984,Tbilisi,Georgia
,Sasha Pavlovic,2958,211,122,1984,,
Utah State University,Desmond Penigar,2959,201,111,1981,Upland,California
University of Wisconsin,Kirk Penney,2960,196,99,1980,Auckland,New Zealand
,Kendrick Perkins,2961,208,122,1984,Nederland,Texas
,Mickael Pietrus,2962,198,97,1982,Les Abymes,Guadeloupe
,Zoran Planinic,2963,201,88,1982,Mostar,Bosnia and Herzegovina
University of Oregon,Luke Ridnour,2964,188,79,1981,Coeur d'Alene,Idaho
Ball State University,Theron Smith,2965,203,102,1980,Bartow,Florida
Wake Forest University,Darius Songaila,2966,206,112,1978,Marijampole,Lithuania
Georgetown University,Mike Sweetney,2967,203,124,1982,Oxon Hill,Maryland
Portland State University,Ime Udoka,2968,198,97,1977,Portland,Oregon
,Slavko Vranes,2969,226,124,1983,Belgrade,Serbia
Marquette University,Dwyane Wade,2970,193,99,1982,Chicago,Illinois
University of Arizona,Luke Walton,2971,203,106,1980,San Diego,California
Xavier University,David West,2972,206,113,1980,Teaneck,New Jersey
University of Notre Dame,Mo Williams,2973,203,102,1971,Fredericksburg,Virginia
Oklahoma State University,Tony Allen,2974,193,96,1982,Chicago,Illinois
Brigham Young University,Rafael Araujo,2975,211,127,1980,Curitiba,Brazil
"University of California, Los Angeles",Trevor Ariza,2976,203,97,1985,Miami,Florida
