prize,race_id,date,venue,race_no,surface,distance,going,horse_ratings,race_class,sec_time,win_combination
625000,857,7/22/1998,ST,3,1,1200,FAST,60-40,4,23.53,5
485000,858,7/22/1998,ST,4,1,1800,FAST,40-0,5,13.84,8
625000,863,7/25/1998,ST,1,0,1000,GOOD,60-40,4,13.31,8
485000,864,7/25/1998,ST,2,0,1600,GOOD,40-0,5,24.75,4
485000,865,7/25/1998,ST,3,0,1400,GOOD,40-10,5,13.94,8
625000,866,7/25/1998,ST,4,0,1400,GOOD,60-40,4,13.8,9
485000,873,7/29/1998,HV,1,0,1000,GOOD TO FIRM,40-0,5,12.67,2
485000,874,7/29/1998,HV,2,0,1800,GOOD TO FIRM,40-0,5,13.69,5
625000,881,8/2/1998,ST,1,1,1650,FAST,60-40,4,28.17,10
625000,882,8/2/1998,ST,2,0,1200,GOOD,60-40,4,24.08,5
1400000,883,8/2/1998,ST,3,1,1200,FAST,105-80,1,23.48,3
625000,884,8/2/1998,ST,4,0,1800,GOOD,60-40,4,13.94,10
625000,885,8/2/1998,ST,5,0,1400,GOOD,60-40,4,13.86,8
850000,897,8/5/1998,HV,7,0,1650,GOOD TO FIRM,80-60,3,28.16,11
850000,898,8/5/1998,HV,8,0,1200,GOOD TO FIRM,80-60,3,23.81,5
625000,904,8/9/1998,ST,6,0,1200,GOOD,65-40,4,23.75,7
1150000,907,8/9/1998,ST,9,0,1200,GOOD,100-80,2,23.72,11
1150000,908,8/9/1998,ST,10,0,1400,GOOD,95-75,2,13.61,12
625000,909,8/12/1998,HV,1,0,1200,GOOD TO FIRM,60-40,4,23.53,7
625000,910,8/12/1998,HV,2,0,1650,GOOD TO FIRM,60-40,4,28,10
625000,911,8/12/1998,HV,3,0,1200,GOOD TO FIRM,60-40,4,23.64,2
625000,912,8/12/1998,HV,4,0,1650,GOOD TO FIRM,60-40,4,27.72,2
625000,917,8/16/1998,ST,1,0,1200,GOOD,60-40,4,24.02,12
625000,918,8/16/1998,ST,2,0,1000,GOOD,60-40,4,13.42,3
850000,919,8/16/1998,ST,3,0,1000,GOOD,85-60,3,13.56,10
485000,920,8/16/1998,ST,4,0,1400,GOOD,40-0,5,13.59,12
625000,921,8/16/1998,ST,5,0,1800,GOOD,60-40,4,14.14,10
850000,934,8/19/1998,HV,8,0,1650,GOOD TO FIRM,80-60,3,27.02,8
485000,938,8/23/1998,ST,4,1,1650,FAST,40-0,5,27.73,13
625000,939,8/23/1998,ST,5,1,1650,FAST,60-40,4,28.24,8
850000,940,8/23/1998,ST,6,1,1200,FAST,80-60,3,23.84,1
625000,941,8/23/1998,ST,7,0,1400,GOOD,60-40,4,13.52,4
1750000,942,8/23/1998,ST,8,1,1650,FAST,110-85,1,27.8,6
850000,943,8/23/1998,ST,9,0,1400,GOOD,80-60,3,13.36,9
