team1,team2,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
Delhi Daredevils,Deccan Chargers,98,2008,Delhi,5/15/2008,Deccan Chargers,field,normal,0,Delhi Daredevils,12,0,A Mishra,Feroz Shah Kotla,BG Jerling,GA Pratapkumar,
Kolkata Knight Riders,Mumbai Indians,99,2008,Mumbai,5/16/2008,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,SM Pollock,Wankhede Stadium,BR Doctrove,DJ Harper,
Delhi Daredevils,Kings XI Punjab,100,2008,Delhi,5/17/2008,Delhi Daredevils,bat,normal,1,Kings XI Punjab,6,0,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen,
Rajasthan Royals,Royal Challengers Bangalore,101,2008,Jaipur,5/17/2008,Royal Challengers Bangalore,field,normal,0,Rajasthan Royals,65,0,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri,
Mumbai Indians,Deccan Chargers,102,2008,Hyderabad,5/18/2008,Deccan Chargers,field,normal,0,Mumbai Indians,25,0,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,DJ Harper,
Kolkata Knight Riders,Chennai Super Kings,103,2008,Kolkata,5/18/2008,Kolkata Knight Riders,bat,normal,1,Chennai Super Kings,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan,
Royal Challengers Bangalore,Delhi Daredevils,104,2008,Bangalore,5/19/2008,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar,
Kolkata Knight Riders,Rajasthan Royals,105,2008,Kolkata,5/20/2008,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen,
Kings XI Punjab,Mumbai Indians,106,2008,Mumbai,5/21/2008,Mumbai Indians,field,normal,0,Kings XI Punjab,1,0,SE Marsh,Wankhede Stadium,BF Bowden,GA Pratapkumar,
Royal Challengers Bangalore,Chennai Super Kings,107,2008,Chennai,5/21/2008,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,14,0,A Kumble,"MA Chidambaram Stadium, Chepauk",DJ Harper,I Shivram,
Deccan Chargers,Kings XI Punjab,108,2008,Chandigarh,5/23/2008,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SJ Davis,
Mumbai Indians,Delhi Daredevils,109,2008,Delhi,5/24/2008,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan,
Rajasthan Royals,Chennai Super Kings,110,2008,Chennai,5/24/2008,Rajasthan Royals,bat,normal,0,Rajasthan Royals,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri,
Royal Challengers Bangalore,Deccan Chargers,111,2008,Bangalore,5/3/2008,Deccan Chargers,field,normal,0,Royal Challengers Bangalore,3,0,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri,
Kings XI Punjab,Kolkata Knight Riders,112,2008,Kolkata,5/25/2008,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,0,3,Umar Gul,Eden Gardens,SJ Davis,I Shivram,
Mumbai Indians,Rajasthan Royals,113,2008,Jaipur,5/26/2008,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,Sohail Tanvir,Sawai Mansingh Stadium,BF Bowden,K Hariharan,
