year,title,imdbRating,ratingCount,duration
2012,Rifftrax Live: Birdemic - Shock and Terror (2012),8.1,46,6600
2006,Zir-e Derakht-e Holou (2006),5.6,163,5400
2012,Rizzoli & Isles What Doesn't Kill You (TV Episode 2012),8.3,136,3600
2012,Weeds - Kleine Deals unter Nachbarn Red in Tooth and Claw (TV Episode 2012),7.6,184,1800
2012,Edición Especial Coleccionista La última noche del Titanic (TV Episode 2012),,,780
2012,Chelsea Lately Episode #6.136 (TV Episode 2012),,,1320
2012,The Cinema Snob The Last House on the Left (TV Episode 2012),8.2,5,1260
1953,Der Untergang der Titanic (1953),7.3,4201,5880
2012,Face Off Supermobile (TV Episode 2012),8.1,11,2640
2014,Need for Speed (2014),7.3,27849,7920
2012,The Nostalgia Critic Digimon the Movie (TV Episode 2012),7.9,33,1560
2012,The Nostalgia Critic The Top 11 Awesome Movie Themes (TV Episode 2012),7.7,29,1320
2012,Supernatural We Need to Talk About Kevin (TV Episode 2012),8.7,1326,2700
2012,The Act of Killing (2012),8.2,11382,6900
2013,Hemlock Grove The Order of the Dragon (TV Episode 2013),7.5,225,2760
,Fire and Ice,,,
2013,Nymphomaniac: Vol. II (2013),7.1,12300,7380
2012,Mad Men in Black to the Future/Pokémon of Interest (TV Episode 2012),,,
2012,Borderlands 2 (Video Game 2012),8.5,1662,
2012,Universal's Cinematic Spectacular: 100 Years of Movie Memories (2012),9.2,6,1080
2012,In the Picture (2012),6.5,15,
2013,Dark Skies (2013),6.3,38197,5820
2005,Once Upon a Halloween (Video 2005),4.5,13,
2012,The Mindy Project In the Club (TV Episode 2012),7.1,128,1800
1953,Ugetsu - Erzählungen unter dem Regenmond (1953),8.1,10881,5760
2011,Vivo en Argentina Tomás Fonzi (TV Episode 2011),,,
2014,Queen and Country (2014),,,
2012,My New Sister (2012),,,900
2012,The Tonight Show with Jay Leno Episode #21.9 (TV Episode 2012),,,3720
2013,+1 (2013),5.5,2852,5700
2013,Rewind This! (2013),7.2,630,5640
2012,Die Simpsons Adventures in Baby-Getting (TV Episode 2012),7.2,293,1320
2011,Tsunami! Recreating a Disaster (Video 2011),,,420
2012,Woody Allen: A Documentary (2012),7.6,2485,6780
1953,Die Ferien des Monsieur Hulot (1953),7.6,10044,6840
2013,Die Pute von Panem - The Starving Games (2013),3.2,7074,4980
2013,Malavita - The Family (2013),6.4,51511,6660
2013,Taffe Mädels (2013),6.7,86816,7020
2012,The Tonight Show with Jay Leno Episode #21.15 (TV Episode 2012),,,3720
2012,Face Off Live Reunion (TV Episode 2012),7,11,2640
2012,Atop the Fourth Wall Starstream #1 (TV Episode 2012),,,1620
2012,Atop the Fourth Wall The Incredible Hulk #1 (TV Episode 2012),,,1620
1973,A Couple of Dons (TV Movie 1973),,,
2012,Saturday Night Live Bruno Mars (TV Episode 2012),7.1,117,5400
2012,Mad Outtagascar/Fiends (TV Episode 2012),,,
2013,Singh Saab the Great (2013),6.2,1204,8760
2012,Bad Movie Beatdown Ghosts of Mars (TV Episode 2012),,,1800
2013,The Oscars (2013),7.4,1842,12900
2000,Hollywood Remembers Dustin Hoffman (TV Movie 2000),,,1500
2012,The Big Review Fall Trailer Park (TV Episode 2012),,,1260
1953,Kampf der Welten (1953),7.1,20650,5100
2012,Bad Movie Beatdown Doomsday (TV Episode 2012),,,1860
2012,Pauw & Witteman Episode #7.24 (TV Episode 2012),,,
2013,Cougar Town - 40 ist das neue 20 Make It Better (TV Episode 2013),8.1,52,1380
2012,Caiga quien caiga - CQC Episode #16.26 (TV Episode 2012),,,5400
2013,Yip Man: Jung gik yat jin (2013),5.9,3032,6000
2012,Die Simpsons Gone Abie Gone (TV Episode 2012),6.7,254,1320
2012,The Tonight Show with Jay Leno Episode #21.40 (TV Episode 2012),,,3720
2013,Yamla Pagla Deewana 2 (2013),3.4,993,9240
2012,The Tonight Show with Jay Leno Episode #21.48 (TV Episode 2012),,,3720
1953,Der letzte Rebell (1953),6.3,92,4860
2013,Private Practice Full Release (TV Episode 2013),8.4,99,3600
2012,Demo Reel (TV Series 2012–2013),5.4,143,
2013,Blackfish (2013),8.1,20518,4980
2012,The Tonight Show with Jay Leno Episode #21.54 (TV Episode 2012),,,3720
2012,Bum Reviews Die Hard (TV Episode 2012),,,120
2012,Demo Reel Wreck-It Ralph vs Angry Birds (TV Episode 2012),7.2,6,
1989,Umang Tarang (TV Series 1989),9.9,720,
2012,Syfy 20th Anniversary Special (TV Movie 2012),7.1,16,7200
1959,Rin-Tin-Tin (TV Series 1954–1959),7.3,295,1800
2013,Das Büro The Farm (TV Episode 2013),7.1,355,1320
6,Cinémas d'Horreur - Apocalypse\,cin mas d horreur apocalypse virus zombies,http://www.imdb.com/title/tt2575400/,7.2
2012,Maltin on Movies Best and Worst Movies of 2012 (TV Episode 2013),,,1800
2012,Great Movie Mistakes IV (TV Movie 2012),6.6,14,
2005,Talk the Talk (2005),,,300
2013,Modern Family The Wow Factor (TV Episode 2013),7.6,368,1800
2012,Arena Screen Goddesses (TV Episode 2012),8.4,25,
2013,The Tonight Show with Jay Leno Episode #21.73 (TV Episode 2013),,,3720
2013,The Blockbuster Buster Honest Review: V for Vendetta (TV Episode 2013),,,780
2013,La última película (2013),6.5,29,5280
2013,70th Golden Globe Awards (2013),7.3,415,
2013,Portlandia Missionaries (TV Episode 2013),8.3,54,1320
2013,Hart of Dixie The Gambler (TV Episode 2013),7.7,97,3600
2013,Lego Marvel Super Heroes (Video Game 2013),8.3,446,
2013,Jolly LLB (2013),7,4214,
2013,Conan Betty White's Bud in Bieber's Bong (TV Episode 2013),8.1,9,3600
2013,The Tonight Show with Jay Leno Episode #21.79 (TV Episode 2013),,,3720
2013,The Graham Norton Show Quentin Tarantino/James McAvoy/Alan Davies/Emeli Sandé (TV Episode 2013),7.4,13,3600
2013,How I Met Your Mother Ring Up! (TV Episode 2013),8,1060,1320
1952,Angels One Five (1952),6.6,385,5880
2013,The Tonight Show with Jay Leno Episode #21.83 (TV Episode 2013),,,3720
2013,Sleepy Hollow (TV Series 2013– ),7.9,25221,2700
2013,Graceland O-Mouth (TV Episode 2013),8.2,96,2700
2013,Almost Human (TV Series 2013– ),8.3,24598,3600
1020,The Nostalgia Chick Lord of the Rings: Return of the King\,http://www.imdb.com/title/tt2655706/,,
2013,Saturday Night Live Christoph Waltz/Alabama Shakes (TV Episode 2013),7.1,129,5400
2013,Mad James Bond: Reply All/Randy Savage: 9th Grade Wrestler (TV Episode 2013),6.6,5,
960,The Nostalgia Chick Lord of the Rings: Return of the King\,http://www.imdb.com/title/tt2669622/,,
2013,Late Show with David Letterman Episode #20.76 (TV Episode 2013),,,3600
1954,Apache (1954),6.4,2307,5460
2013,Maltin on Movies A Good Day to Die Hard (TV Episode 2013),,,1800
2013,Community Conventions of Space and Time (TV Episode 2013),7.3,674,1320
2013,Maltin on Movies Awards Special 2013 (TV Episode 2013),,,1800
2013,Supernatural Goodbye Stranger (TV Episode 2013),8.6,574,2700
2013,The Tonight Show with Jay Leno Episode #21.100 (TV Episode 2013),,,3720
2013,Saturday Night Live Kevin Hart/Macklemore & Ryan Lewis (TV Episode 2013),6.4,98,5400
2013,Jeopardy! 2013 Tournament of Champions Quarterfinal Game 5 (TV Episode 2013),,,1800
2013,Edición Especial Coleccionista Blu-ray: Pack Indiana Jones (TV Episode 2013),,,1860
2013,The Oscars Red Carpet Live (TV Movie 2013),7.6,26,
2013,Saturday Night Live Vince Vaughn/Miguel (TV Episode 2013),5.2,67,5400
2013,Die Simpsons What Animated Women Want (TV Episode 2013),6.5,246,1320
2013,Family Guy No Country Club for Old Men (TV Episode 2013),6.8,242,1320
2013,Rock Center with Brian Williams Episode #1.60 (TV Episode 2013),,,3600
2013,Face Off Going for Gold (TV Episode 2013),8.2,21,2640
,Pete's Dragon,,,
2014,Die Oscars (2014),7.8,1472,12840
2013,Modern Family Flip Flop (TV Episode 2013),7.7,358,1800
2013,Mad LinKONG/Rainbow Dash & Bernstein (TV Episode 2013),,,
2013,Meet Me on the Southbank (2013),,,4200
2013,The Tonight Show with Jay Leno Episode #21.130 (TV Episode 2013),,,3720
2013,Saturday Night Live Zach Galifianakis/Of Monsters and Men (TV Episode 2013),7.7,83,5400
2013,Suits I Want You to Want Me (TV Episode 2013),8.7,550,2700
2014,Majo no takkyûbin (2014),6.3,8,
,The Heat 2,,,
2013,Count It Down: Sequels Better Than the Originals (TV Movie 2013),,,3600
2013,The Tonight Show with Jay Leno Episode #21.148 (TV Episode 2013),,,3720
1954,The Cats Bah (1954),6.8,141,420
2013,Maltin on Movies Star Trek Into Darkness (TV Episode 2013),,,1800
2013,Once Upon a Time in Wonderland Down the Rabbit Hole (TV Episode 2013),7.7,276,2520
2013,Maltin on Movies The Hangover Part III (TV Episode 2013),,,1800
2013,Movie Friends: Prashant Prabhakar (2013),,,120
2012,Funny Show Part Two: The Video - Movie (Video 2012),8,9,9060
2013,The Big Review Spring Trailer Park (TV Episode 2013),,,1260
2013,Die Simpsons White Christmas Blues (TV Episode 2013),6.5,204,1320
2001,The 100 Greatest Films (TV Movie 2001),,,
2013,Maltin on Movies After Earth (TV Episode 2013),,,1800
2013,Bros Before Hos (2013),6.7,1167,5220
1954,Ein Mädchen vom Lande (1954),7.4,3199,6240
2012,This Is England? (2012),,,120
2013,Stevie TV Catches (TV Episode 2013),,,
2013,Linkin: A Lincoln Parody (2013),,,300
2013,Mike and Mike in the Morning Episode dated 5 June 2013 (TV Episode 2013),,,14400
2014,Die Simpsons Steal This Episode (TV Episode 2014),7.4,316,1320
2003,Så började det (Video 2003),,,2280
2014,The Purge: Anarchy (2014),,,
2013,Sixteen (2013),6.4,829,8280
2003,La guerra en el cine (Video 2003),,,1080
2013,At the Movies Cannes Film Festival 2013 (TV Episode 2013),,,1680
2014,Highway (2014),7.8,6204,7980
2013,The Tonight Show with Jay Leno Episode #21.175 (TV Episode 2013),,,3720
2013,ReelzChannel Specials Richard Roeper's Red Hot Summer (TV Episode 2013),,,1800
2009,At the Movies Cannes Film Festival 2009 (TV Episode 2009),,,1800
2010,DP/30: Conversations About Movies The Town Director Ben Affleck (TV Episode 2010),,,2460
2013,Top Gear Episode #20.2 (TV Episode 2013),8.3,81,3720
2012,What About Columbus (2012),,,6540
2013,Half in the Bag The Lone Ranger and White House Down (TV Episode 2013),,,1800
2013,The Tonight Show with Jay Leno Episode #21.193 (TV Episode 2013),,,3720
2015,The Conjuring 2: The Enfield Poltergeist (2015),,,
2013,Count It Down: Coolest Movie Characters (TV Movie 2013),,,3600
2013,Fonzy (2013),5.5,89,6180
2009,The Watchman Video Broadcast with Pastor Michael Hoggard DNA Special (TV Episode 2009),,,1500
1974,Paramount Presents (TV Movie 1974),,,5400
2013,The Tonight Show with Jay Leno Episode #21.202 (TV Episode 2013),,,3720
2013,Comedy Central Roast of James Franco (TV Movie 2013),7.9,1227,4200
2013,Franklin & Bash Gone in a Flash (TV Episode 2013),8,26,3600
2011,DVD-R Hell (TV Series 2011– ),7.5,11,
2013,Midnight Screenings 42/Scary Movie 5 (TV Episode 2013),,,
2013,Midnight Screenings The Lone Ranger/Despicable Me 2 (TV Episode 2013),,,5340
2013,Midnight Screenings 2 Guns (TV Episode 2013),,,
2013,The Cinema Snob Friday the 13th Part 2 (TV Episode 2013),7.2,5,1260
2013,At the Movies Episode #10.25 (TV Episode 2013),,,1680
2013,At the Movies Episode #10.26 (TV Episode 2013),,,1680
2013,Chelsea Lately Episode #7.134 (TV Episode 2013),,,1320
2013,Unzipping Body Bags (Video 2013),9.4,8,1200
2013,Hannah and Her Sisters Remake: Los Angeles Film School Workshop (2013),,,180
2013,Lindenstraße Lea rennt (TV Episode 2013),,,1740
2013,James & Mike Play King of Monsters 2 (TV Episode 2013),,,
2013,The Nostalgia Critic Sharknado (TV Episode 2013),7.3,24,1740
2013,South Park World War Zimmerman (TV Episode 2013),7.7,702,1320
2007,Hudugaata (2007),6.2,10,8580
2013,The Tonight Show with Jay Leno Episode #21.214 (TV Episode 2013),8.9,8,3720
2013,Modern Marvels Super Strong Countdown (TV Episode 2013),,,3600
2011,DVD-R Hell Intergalactic Thanksgiving (TV Episode 2011),,,
1954,Der einsame Adler (1954),6.5,412,6660
2014,Community Introduction to Teaching (TV Episode 2014),8.8,802,1320
2013,L'Assenza (2013),7.1,7,
2014,Being Human The Panic Womb (TV Episode 2014),8.3,44,2640
2013,The Tonight Show with Jay Leno Episode #22.4 (TV Episode 2013),,,3720
2013,Face Off Dark Magic (TV Episode 2013),7.4,14,2640
2013,Filmselskabet Episode #4.1 (TV Episode 2013),,,1680
2013,The Tonight Show with Jay Leno Episode #22.9 (TV Episode 2013),,,3720
2013,Brooklyn Nine-Nine Old School (TV Episode 2013),8.1,255,1380
1929,Die Büchse der Pandora (1929),8,6024,6540
1954,Die Intriganten (1954),7.4,2120,6240
2013,Chelsea Lately Episode #7.151 (TV Episode 2013),,,1320
2013,Midnight Screenings Prisoners/Battle of the Year 3D (TV Episode 2013),,,6000
2013,The Tonight Show with Jay Leno Episode #22.14 (TV Episode 2013),,,3720
2013,Atop the Fourth Wall The Thing from Another World: Climate of Fear #1-2 (TV Episode 2013),,,1860
2013,Brows Held High Room in Rome (TV Episode 2013),,,1260
2013,Agents of S.H.I.E.L.D. The Well (TV Episode 2013),8,835,2700
2013,Words with Warwick (TV Mini-Series 2013),,,
2013,Haunted Melodies with Lalo Schifrin (Video 2013),,,600
2009,Troldspejlet Episode #41.6 (TV Episode 2009),,,1500
2009,Troldspejlet Episode #41.7 (TV Episode 2009),,,1500
1954,Gojira (1954),7.5,12613,4980
2013,The Tonight Show with Jay Leno Episode #22.27 (TV Episode 2013),,,3720
2011,The Twenty-Eight Hits for Laughs (TV Series 2011– ),6.7,11,
2013,Half in the Bag Gravity and Carrie (TV Episode 2013),,,2400
2001,On the 6th Day (Video 2001),,,3000
2013,The Tonight Show with Jay Leno Episode #22.34 (TV Episode 2013),,,3720
2013,Cinemassacre's Monster Madness Night of the Living Dead: Full Length Commentary (TV Episode 2013),,,5820
2013,Bob's Burgers Turkey in a Can (TV Episode 2013),7.6,77,1800
1954,Grünes Feuer (1954),6,736,6000
2012,The Twenty-Eight Hits for Laughs 7. Special Place: Mentioned Areallyman007's Videos I (TV Episode 2012),7.3,10,420
240,Psych Lock\,psych lock stock some smoking barrels and burton guster s goblet of fire tv episode,http://www.imdb.com/title/tt3310524/,8.6
2013,Studio C Episode #2.10 (TV Episode 2013),,,1800
2013,Mike and Mike in the Morning Episode dated 5 November 2013 (TV Episode 2013),,,14400
2014,Kill Your Killer (2014),,,9240
2012,Casque d'Or: Au coeur des sentiments (Video 2012),,,1920
2013,Smashing UK Top 10 (TV Series 2013– ),8.3,12,600
2013,The Avengers Badly Animated Adventures (Video 2013),6.4,8,720
1954,Es wird immer wieder Tag (1954),7,3604,8820
2005,Vokhatuk (Video 2005),9.5,20,360
2013,How I Met Your Mother Bedtime Stories (TV Episode 2013),5.4,1909,1260
2013,Smashing UK Top 10 Top 10 British Films (TV Episode 2013),,,600
2002,Beverly Hills Cop II: The Phenomenon Continues (Video 2002),,,1260
2000,Memories of Navarone (Video 2000),,,1800
1957,Rope (TV Movie 1957),,,4200
2013,Uvda Episode #20.1 (TV Episode 2013),,,
1954,Lebensgier (1954),7.2,2010,5460
2012,At the Movies Cannes Film Festival 2012 (TV Episode 2012),,,1680
2013,Chelsea Lately Episode #7.189 (TV Episode 2013),,,1320
2013,Film '72 Episode dated 3 December 2013 (TV Episode 2013),,,1800
2013,At the Movies Episode #10.21 (TV Episode 2013),,,1680
2013,ABC News Nightline Episode dated 18 December 2013 (TV Episode 2013),,,1800
2013,Ego Sun (2013),,,
2012,NASA: Pursuing the Holy Grail (Video 2012),,,
2013,Shameful Sequels Santa Paws 2 (TV Episode 2013),,,720
2010,At the Movies Venice Film Festival 2010 (TV Episode 2010),,,1620
2013,Psychopath Night (TV Movie 2013),7.4,9,6900
2013,O'Hellige Jul! (2013),7.6,16,5760
2013,Film '72 Episode dated 17 December 2013 (TV Episode 2013),,,1800
2014,The 2014 Film Independent Spirit Awards (TV Movie 2014),7.3,7,
2013,Bad Education Christmas (TV Episode 2013),8.1,14,1800
2014,The Daily Show Scarlett Johansson (TV Episode 2014),8.3,15,1800
1975,The House of Exorcism (1975),5.3,30,5520
1954,Damals in Paris (1954),6.2,2141,6960
2013,Dream Me Up Scotty! (TV Movie 2013),,,3540
2014,The Nostalgia Critic In Loving Memory of Justin Carmical (TV Episode 2014),9.4,11,
2014,The Nostalgia Critic When Is Something So Bad It's Good? (TV Episode 2014),7.4,18,420
2014,19th Annual Critics' Choice Movie Awards (TV Movie 2014),7.1,20,7200
2010,Ben's Boston Nuns with Guns: Filming in the North End (TV Episode 2010),,,300
2010,Ben's Boston The Real People of the Town (TV Episode 2010),,,180
2010,Ben's Boston Ben Affleck: Director and Actor (TV Episode 2010),,,480
2013,Greatest Ever Christmas Movies (TV Movie 2013),,,
2014,Chelsea Lately Episode #8.14 (TV Episode 2014),,,1320
2014,Private Screenings Robert Osborne (TV Episode 2014),8.7,11,4440
1954,Der sympathische Hochstapler (1954),6.8,865,5700
2014,The EE British Academy Film Awards (2014),6.7,24,
2014,The Big Bang Theory The Convention Conundrum (TV Episode 2014),8,712,1260
2014,The Tonight Show with Jay Leno Rep. John Boehner/Matt LeBlanc/Dorian Holley (TV Episode 2014),,,3720
,The Hateful Eight,,,
2013,Who the 'Ell Is Tauriel? (2013),8.5,12,360
2014,Bob Chinn: Memories of Walt Davis & Manny Conde (Video 2014),,,1080
2014,De wereld draait door Episode dated 15 January 2014 (TV Episode 2014),,,
2014,The Sugarcube Critic Elements of Harmony (TV Episode 2014),,,
2014,Chelsea Lately Episode #8.17 (TV Episode 2014),,,1320
1954,Macbeth (TV Movie 1954),6.8,13,6180
2014,Die Oscars (TV Movie 2014),7.4,192,5700
2014,The Tonight Show with Jay Leno Matthew McConaughey/Charles Barkley/Lyle Lovett (TV Episode 2014),,,3720
2009,At the Movies Summer Special 2009/10 (TV Episode 2009),,,3300
2014,The Graham Norton Show Sir Kenneth Branagh/Keira Knightley/Lee Mack/Thierry Henry/Katy B (TV Episode 2014),,,3600
2014,Face Off Guitar Gods (TV Episode 2014),7.2,10,2640
2014,Chelsea Lately Episode #8.23 (TV Episode 2014),,,1320
2014,This Old House Arlington Italianate Project 2014/Old House Discoveries (TV Episode 2014),,,1800
2010,At the Movies Episode #7.1 (TV Episode 2010),,,1800
2014,The Graham Norton Show Matthew McConaughey/Julianne Moore/Alan Davies/Sheryl Crow (TV Episode 2014),,,3600
2014,Saturday Night Live Jim Parsons/Beck (TV Episode 2014),6,90,3600
2014,The Graham Norton Show Gary Oldman/Toni Collette/Nick Frost/London Grammar (TV Episode 2014),,,3600
2014,The Sugarcube Critic Griffon the Brush-Off (TV Episode 2014),,,
2010,20 to 1 Blockbuster Heroes (TV Episode 2010),,,3600
2014,Nada Tenho de Meu Angkor-Vat (Camboja) (TV Episode 2014),,,
2014,Film '72 Episode dated 11 February 2014 (TV Episode 2014),,,1800
2010,At the Movies Summer Special 2010/11 (TV Episode 2010),,,3180
2014,Revolution Exposition Boulevard (TV Episode 2014),8.1,174,2580
1954,L'oro di Napoli (1954),7.4,641,8280
2013,Great MoVie Mistakes (TV Movie 2013),,,
2014,The Swan Princess: A Royal Family Tale (Video 2014),6,44,4980
2014,Saturday Night Live Lena Dunham/The National (TV Episode 2014),6.5,72,5400
2014,Film '72 Episode dated 26 February 2014 (TV Episode 2014),,,1800
2013,Pastor Mike Online JFK 50th Anniversary (TV Episode 2013),,,7200
2014,Pastor Mike Online Repairing the Breaches: Part 2 (TV Episode 2014),,,7200
2014,Mike and Mike in the Morning Episode dated 3 March 2014 (TV Episode 2014),,,14400
2013,Damaged Goodies Avengers 2 Extended Trailer (TV Episode 2013),,,
1954,Prinz Eisenherz (1954),6.3,1464,6000
1954,Hölle 36 (1954),6.7,552,4860
1954,Fluß ohne Wiederkehr (1954),6.7,5991,5460
1954,Samurai (1954),7.6,4881,5580
1954,Saskatschewan (1954),6.5,418,5220
1928,The Cardboard Lover (1928),8.4,638,3000
1954,A Star Is Born (1954),7.9,9081,9240
1954,Formicula (1954),7.3,11947,5640
1954,Weiße Weihnachten (1954),7.6,16415,7200
1954,Zeugin des Mordes (1954),6.8,1231,4980
1960,Robin Hood (TV Series 1955–1960),7.7,411,1800
1955,Casablanca (TV Series 1955– ),6,30,3600
1975,Rauchende Colts (TV Series 1955–1975),8,2192,3600
1959,Highway Patrol (TV Series 1955–1959),7.9,413,1800
1955,Der 20. Juli (1955),7.3,96,5820
1954,Animal Farm - Aufstand der Tiere (1954),7.3,7515,4320
1955,Urlaub bis zum Wecken (1955),6.6,1380,8160
1955,Geheimring 99 (1955),7.5,3485,5040
1956,Drei Uhr nachts (1956),7.8,5889,5880
1955,Akte XP 15 (1955),6,516,5100
5580,Davy Crockett\,http://www.imdb.com/title/tt0047977/,7.2,1681
1928,Der letzte Befehl (1928),7.9,1755,5280
1955,Jenseits von Eden (1955),8.1,24173,6900
1955,Das verbrecherische Leben des Archibaldo de la Cruz (1955),7.9,2496,5340
1955,Tokio-Story (1955),6.9,1671,6120
1955,Vorwiegend heiter (1955),7.1,1716,6060
1955,Rattennest (1955),7.7,11276,6360
1955,Der letzte Akt (1955),7.1,107,5700
1955,Marty (1955),7.8,11703,5400
1928,Lights of New York (1928),7.6,498,3420
1955,Herr Satan persönlich! (1955),7.4,4281,5580
1955,Ordet (1955),8,7820,7560
1955,Pokolenie (1955),7.3,1319,4980
6660,...denn sie wissen nicht\,http://www.imdb.com/title/tt0048545/,7.8,50532
1955,Rio 40 Graus (1955),7.3,247,6000
1955,Zoku Miyamoto Musashi: Ichijôji no kettô (1955),7.5,3494,6240
1955,Sugata Sanshiro (1955),7.3,73,
1955,Das verflixte 7. Jahr (1955),7.3,19778,6300
1928,Our Dancing Daughters (1928),7.6,996,5100
1955,Shree 420 (1955),7.9,1240,10080
1955,In die Enge getrieben (1955),6.7,769,5820
1955,Immer Ärger mit Harry (1955),7.2,19699,5940
1955,Die jungfräuliche Königin (1955),7,1517,5520
1955,Wir sind keine Engel (1955),7.5,5058,6360
1968,To Tell the Truth (TV Series 1956–1968),6.8,147,1800
1956,Alexander der Große (1956),5.9,2103,8460
1956,Anastasia (1956),7.2,4772,6300
1928,Der Patriot (1928),7.4,67,6780
1956,Apus Weg ins Leben - 2.: Der Unbesiegbare (1956),7.9,5021,6600
1956,In 80 Tagen um die Welt (1956),6.8,13506,10500
1956,Bandido (1956),6.3,604,5520
1956,Panzerschiff Graf Spee (1956),6.6,2460,7140
1956,Jenseits allen Zweifels (1956),7,2466,4800
1956,...und ewig lockt das Weib (1956),6.4,4185,5700
1956,Gaby (1956),6,192,5760
1956,Die oberen Zehntausend (1956),7,8350,6660
1956,Der König und Ich (1956),7.5,15888,7980
1956,Der letzte Wagen (1956),7,1390,5880
6180,Der Mann\,http://www.imdb.com/title/tt0049471/,7.5,2460
1956,Miracle in the Rain (1956),7.3,650,6480
1956,Moby Dick (1956),7.4,11101,6960
1956,Menschenraub (1956),6.9,1036,6540
1956,Miyamoto Musashi kanketsuhen: kettô Ganryûjima (1956),7.8,3536,6300
1956,Der Siebente ist dran (1956),7.6,2699,4680
1956,Der letzte Schuß (1956),7.8,669,5280
1956,Der Schwan (1956),6.5,1447,6240
1988,Bandstand (TV Series 1952–1988),7.6,130,5400
1963,Erwachsen müßte man sein (TV Series 1957–1963),7.7,3129,1800
1959,Zorro (TV Series 1957–1959),8.3,1384,1800
5460,Yeti\,http://www.imdb.com/title/tt0050095/,6.5,1967
1958,Die unglaublichen Abenteuer des Herkules (1958),5.4,1057,5400
1957,Die Nacht kennt keine Schatten (1957),7,1135,6000
1958,Ungeheuer ohne Gesicht (1958),6.3,2047,4500
1958,Fortunella (1958),6.9,60,6000
1957,Der Schrei (1957),7.8,2308,6960
1957,Der Seemann und die Nonne (1957),7.5,4971,6480
1957,Die unglaubliche Geschichte des Mr. C (1957),7.7,9026,4860
1957,Kiss Them for Me (1957),5.8,1136,6300
1917,Der Einwanderer (1917),7.8,3753,1800
1957,Ariane - Liebe am Nachmittag (1957),7.4,7851,7800
1957,Tag ohne Ende (1957),7.5,1140,6120
1957,Die Uhr ist abgelaufen (1957),6.7,1917,5400
1957,Weiße Nächte (1957),7.7,3804,5820
1957,Die Nächte der Cabiria (1957),8.3,20669,6600
1957,Der Prinz und die Tänzerin (1957),6.7,4533,6900
1928,Herrin der Liebe (1928),8,793,5880
1957,Rio Zona Norte (1957),7.3,125,5400
1957,Hongkong war ihr Schicksal (1957),6.3,150,5640
1957,Seidenstrümpfe (1957),7,2285,7020
1957,Um Kopf und Kragen (1957),7.5,2340,4680
1957,Der Stern des Gesetzes (1957),7.4,2834,5580
1929,Arsenal (1929),7.4,872,5400
1961,Abenteuer unter Wasser (TV Series 1958–1961),7.9,464,1800
1958,Das Gesicht (1958),7.7,4530,6000
1958,Die tolle Tante (1958),8,6925,8580
1958,Blob - Schrecken ohne Namen (1958),6.4,13081,5160
1958,Bravados (1958),7,2648,5880
1958,In brutalen Händen (1958),6.5,508,5760
1958,Curse of the Faceless Man (1958),4.8,323,4020
1958,Dracula (1958),7.5,11749,4920
1958,Mit den Waffen einer Frau (1958),6.9,466,6300
1958,Die Fliege (1958),7.1,11505,5640
1958,Das letzte Hurra (1958),7.5,1767,7260
1958,Der Henker ist unterwegs (1958),7.4,1090,5160
1958,Der Mann aus dem Westen (1958),7.3,3816,6000
1958,Der alte Mann und das Meer (1958),7,4410,5160
1959,Plan 9 aus dem Weltall (1959),3.9,26342,4740
1958,Asche und Diamant (1958),7.9,5424,6180
1958,5 auf einen Streich (1958),6.8,903,6180
1958,U 23 - Haie im Pazifik (1958),7.4,6624,5280
1958,Diebe haben's schwer (1958),8.1,4764,6360
1958,Verdammt sind sie alle (1958),7.5,3294,8220
1958,Torpedo los! (1958),6.4,1158,5880
1958,Die Wikinger (1958),7.1,7740,6960
1973,Bonanza (TV Series 1959–1973),7.4,3724,2940
1959,Die Brücke (1959),7.6,4379,6180
1959,Man nannte es den großen Krieg (1959),8.3,1848,8220
1959,Der letzte Befehl (1959),7.2,5202,6900
1929,Desert Nights (1929),8.4,879,3720
1959,Barfuß durch die Hölle - 2. Teil: Die Straße zur Ewigkeit (1959),8.4,2138,6720
1959,Pickpocket (1959),7.9,9626,4500
1959,Auf eigene Faust (1959),7.4,2201,4380
1959,Rio Bravo (1959),8.1,34749,8460
4920,Schrei\,http://www.imdb.com/title/tt0053363/,6.7,4044
1929,Hallelujah (1929),7,902,6540
1960,Ausser Atem (1960),8,40037,5400
1968,The Andy Griffith Show (TV Series 1960–1968),8.3,5880,1800
1966,Familie Feuerstein (TV Series 1960–1966),7.6,16233,1800
1965,The Famous Adventures of Mr. Magoo (TV Series 1964–1965),7.1,253,1800
1960,The Westerner (TV Series 1960– ),8.3,66,1800
1960,Alamo (1960),6.9,8816,10020
1960,Telefon Butterfield 8 (1960),6.4,3537,6540
1929,Die eiserne Maske (1929),7.7,779,5700
1960,Dracula und seine Bräute (1960),6.9,3388,5100
1960,Exodus (1960),6.9,5653,12480
1959,Hannibal (1959),5.4,349,5700
1960,Die Straßenwalze und die Geige (1960),7.5,2241,2760
1929,Marianne (1929),8.4,896,6660
1960,Versunkene Welt (1960),5.5,1849,5820
1960,Mitternachtsspitzen (1960),6.9,2387,6600
1960,Mughal-E-Azam (1960),8.2,2872,11820
1960,Vertraue keinem Fremden (1960),7.4,388,4860
1960,Sonntags... nie! (1960),7.5,3026,5460
1918,Berg-Ejvind und seine Frau (1918),6.9,787,8160
1960,Der endlose Horizont (1960),7.3,2334,7980
