year,title,imdbRating,ratingCount,duration
2012,Die Jagd (2012),8.3,80966,6900
1957,Ein König in New York (1957),7.3,4268,6600
1933,Dinner um acht (1933),7.9,5139,6660
1944,The Miracle of Morgan's Creek (1944),8,4798,5880
1943,Der Rabe (1943),7.6,5372,5520
1997,Funny Games (1997),7.6,32584,6480
1960,Das Schreckenshaus des Dr. Rasanoff (1960),7.8,12002,5280
1975,Picknick am Valentinstag (1975),7.6,20020,6900
1967,Der eiskalte Engel (1967),8.2,22465,6300
1973,Wenn die Gondeln Trauer tragen (1973),7.4,26050,6600
1934,Napoleon vom Broadway (1934),7.9,3874,5460
1960,Augen der Angst (1960),7.8,17160,6060
1967,In der Hitze der Nacht (1967),8,39484,6540
2013,Videoclub (2013),4.9,18,
1974,Mord im Orient Express (1974),7.3,28857,7680
1928,Buster Keaton - Dampfer-Willis Sohn (1928),8,7236,4200
1986,Blue Velvet (1986),7.8,100580,7200
1978,Tod auf dem Nil (1978),7.2,15392,8400
1982,Das Böse unter der Sonne (1982),7,6871,7020
1987,Haus der Spiele (1987),7.3,14094,6120
2009,Verdammnis (2009),7.1,55813,7740
1995,Copykill (1995),6.5,36160,7380
2000,Die purpurnen Flüsse (2000),6.9,40832,6360
1930,Mord - Sir John greift ein! (1930),6.4,3464,6240
1936,Mr. Deeds geht in die Stadt (1936),8,12499,6900
1942,The Palm Beach Story (1942),7.9,6804,5280
1986,Precious Images (1986),7.4,442,480
6240,Atlantic City\,http://www.imdb.com/title/tt0080388/,7.4,9189
1936,Der versteinerte Wald (1936),7.7,7818,4920
1999,Boys Don't Cry (1999),7.6,63699,7080
1983,Die Outsider (1983),7.2,45251,5460
1971,The Panic in Needle Park (1971),7.1,8763,6600
1928,Es tut sich was in Hollywood (1928),8.3,2400,4980
2005,Das Kind (2005),7.4,11521,6000
1996,William Shakespeares Romeo & Julia (1996),6.9,129664,7200
1937,Pépé le Moko - Im Dunkel von Algier (1937),7.7,3792,5640
1995,Das Leben nach dem Tod in Denver (1995),6.8,19544,6900
1973,Badlands (1973),7.9,35743,5640
1952,Goldhelm (1952),7.8,2648,5100
1919,When the Clouds Roll by (1919),7,530,5100
2005,Destroy All Humans! (Video Game 2005),7.9,321,
1937,Die schreckliche Wahrheit (1937),8,11147,5460
1955,Über den Dächern von Nizza (1955),7.5,35545,6360
1944,Laura (1944),8.2,23895,5280
1936,Mein Mann Godfrey (1936),8.2,13141,5640
1964,Marnie (1964),7.2,26944,7800
1989,Whose Line Is It Anyway? Episode #2.7 (TV Episode 1989),,,2220
1924,Manhandled (1924),8.3,739,4500
2005,The 100 Greatest War Films (TV Movie 2005),5.3,90,23100
1962,Zatôichi monogatari (1962),7.7,2441,5760
1943,Judo Saga - Die Legende vom großen Judo (1943),6.9,2409,4740
2010,Robin Hood (2010),6.7,166816,8400
2004,Hidalgo - 3000 Meilen zum Ruhm (2004),6.6,58431,8160
2006,Apocalypto (2006),7.8,193604,8340
1972,Die Höllenfahrt der Poseidon (1972),7.1,27872,7020
1970,Zatôichi to Yôjinbô (1970),7.2,1441,4740
1978,Die 36 Kammern der Shaolin (1978),7.8,8402,6900
1985,Fleisch & Blut (1985),6.7,10990,7560
1978,Yagyû ichizoku no inbô (1978),7.3,1059,7800
1961,Die Kanonen von Navarone (1961),7.6,29407,9480
1957,Das Schloß im Spinnwebwald (1957),8.2,21413,6600
2013,Smashing UK Top 10 Top 10 International Films (TV Episode 2013),,,600
1921,Zwei Waisen im Sturm (1921),8.1,3138,9120
1929,Queen Kelly (1929),8,2305,6060
1929,Coquette (1929),7.4,1500,4560
1928,...aber das Fleisch ist schwach (1928),8.1,1683,5820
1921,Der Überfall auf die Virginiapost (1921),8.2,1347,5940
1937,Ein Stern geht auf (1937),7.7,4471,6660
1931,The Last Flight (1931),7.9,1066,4560
1961,Viridiana (1961),8.2,12404,5400
1945,Das verlorene Wochenende (1945),8.1,19966,6060
1932,Der schöne Karl (1932),8.1,1136,4620
2002,The Magic of Fellini (TV Movie 2002),6.1,258,3360
1947,Goldenes Gift (1947),8.1,17520,5820
1928,Ein Mädel mit Tempo (1928),8.2,1701,4680
1945,Todsünde (1945),7.8,5934,6600
1953,Niagara (1953),7.1,8741,5520
1948,Du lebst noch 105 Minuten (1948),7.5,5734,5340
1948,Act of Violence (1948),7.5,2370,4920
1949,Gefahr in Frisco (1949),7.8,2860,5640
1955,An einem Tag wie jeder andere (1955),7.6,5567,6720
1949,Das unheimliche Fenster (1949),7.5,1750,4380
1947,Hemmungslose Liebe (1947),7.2,2333,6480
1957,Dein Schicksal in meiner Hand (1957),8.2,15654,5760
1946,Gilda (1946),7.8,15960,6600
1986,Hannah und ihre Schwestern (1986),8,41610,6180
1997,Siskel & Ebert & the Movies Men in Black/Wild America/Out to Sea (TV Episode 1997),,,1800
1955,Der Tiger von New York (1955),6.8,12163,4020
1954,Sabrina (1954),7.8,33551,6780
1943,Im Schatten des Zweifels (1943),8,37111,6480
1953,Ich beichte (1953),7.3,11279,5700
1942,Die Narbenhand (1942),7.6,4787,4860
1950,Unter Geheimbefehl (1950),7.3,4124,5760
1955,Rififi (1955),8.2,14719,7320
1950,Die Ratte von Soho (1950),8,6194,6060
1948,Gangster in Key Largo (1948),7.9,23298,6000
1989,Verbrechen und andere Kleinigkeiten (1989),8.1,34554,6240
1937,Denen ist nichts heilig (1937),7.6,3754,4620
1940,His Girl Friday - Sein Mädchen für besondere Fälle (1940),8.1,34101,5520
1994,Who Do You Think You're Fooling? (1994),5.3,189,660
2008,Glaubensfrage (2008),7.5,80912,6240
2009,Das weiße Band - Eine deutsche Kindergeschichte (2009),7.8,41551,8640
2009,Alles über Elly (2009),8.2,14680,7140
2001,Das Zimmer meines Sohnes (2001),7.4,12459,5940
1961,Frühstück bei Tiffany (1961),7.8,90979,6900
2002,Spider (2002),6.9,25733,5880
1963,Shock Corridor (1963),7.6,6164,6060
1960,Die mit der Liebe spielen (1960),7.9,13291,8580
2008,So viele Jahre liebe ich dich (2008),7.6,15364,7020
1957,Eva mit 3 Gesichtern (1957),7.3,4253,5460
1931,The Phantom of Paris (1931),7.6,972,4440
1979,Manhattan (1979),8,83078,5760
1959,Anatomie eines Mordes (1959),8.1,35135,9600
1931,The Bachelor Father (1931),7.8,818,5400
1958,Eiskalt in Alexandrien (1958),7.9,2984,7740
1943,Destroyer (1943),6.7,704,5940
1968,Agenten sterben einsam (1968),7.7,32785,9480
1951,African Queen (1951),8,50111,6300
2003,Master & Commander - Bis ans Ende der Welt (2003),7.4,140094,8280
1989,Die Verdammten des Krieges (1989),7,27348,6780
1981,Gallipoli (1981),7.6,24493,6600
2002,Die vier Federn (2002),6.5,24173,7920
1965,Colonel von Ryans Expreß (1965),7.1,8141,7020
2011,Parks and Recreation Eagleton (TV Episode 2011),8.3,308,1260
2007,Die Fälscher (2007),7.6,30580,5880
2002,Der Stellvertreter (2002),7.3,8712,7920
1975,Die 120 Tage von Sodom (1975),6,28383,6960
1960,Die Jungfrauenquelle (1960),8.1,14749,5340
1966,Wie klaut man eine Million? (1966),7.6,11667,7380
2005,... A Father... A Son... Once Upon a Time in Hollywood (TV Movie 2005),7.7,74,5700
1998,Angst und Schrecken in Las Vegas (1998),7.8,172021,7080
1990,Akira Kurosawa's Träume (1990),7.8,15270,7140
2011,The Tree of Life (2011),6.7,108560,8340
1994,Interview mit einem Vampir - Aus der Chronik der Vampire (1994),7.6,193094,7380
1971,Tod in Venedig (1971),7.6,11098,7800
1932,Das Blut eines Dichters (1932),7.5,3222,3300
1965,Die Handschrift von Saragossa (1965),8,2779,10920
1969,Fellinis Satyricon (1969),6.9,9720,7680
2010,Hereafter - Das Leben danach (2010),6.5,69425,7740
1976,Von Angesicht zu Angesicht (1976),7.7,2450,6840
2002,Mission Hill Plan 9 from Mission Hill (or I Married a Gay Man from Outer Space) (TV Episode 2002),7.4,42,1800
1963,Das Schweigen (1963),8,9325,5760
1978,Herbstsonate (1978),8.2,11098,5940
1968,Schande (1968),7.9,6196,6180
1963,Licht im Winter (1963),8,10304,4860
8820,Paris\,http://www.imdb.com/title/tt0087884/,8.1,34465
1986,Opfer (1986),8.1,10180,8520
1961,Die Nacht (1961),7.9,8066,6900
1962,Harakiri (1962),8.6,13453,7980
1953,Die Reise nach Tokio (1953),8.3,18631,8160
1970,Der Konformist (1970),8.1,12653,6660
